0	1	2
23613754	18818436	2
23613754	20022960	2
23613754	20675210	2
23613754	22085933	2
23613754	25533345	2
23613754	25690936	2
23613754	29061959	2
23613754	29304842	2
23613754	22307056	1
23613754	17654515	0
23613754	18086680	0
23613754	18238855	0
23613754	18264089	0
23613754	18362916	0
23613754	18436640	0
23613754	18448678	0
23613754	18483421	0
23613754	18940811	0
23613754	19056910	0
23613754	19107196	0
23613754	19150979	0
23613754	19442193	0
23613754	19500347	0
23613754	19716222	0
23613754	19800316	0
23613754	19890402	0
23613754	19937756	0
23613754	20065035	0
23613754	20520791	0
23613754	20715182	0
23613754	21308862	0
23613754	21328468	0
23613754	21390061	0
23613754	21857111	0
23613754	21969378	0
23613754	22013995	0
23613754	22029416	0
23613754	22331466	0
23613754	22445757	0
23613754	22540148	0
23613754	22613812	0
23613754	23081664	0
23613754	23205673	0
23613754	23370346	0
23613754	24204656	0
23613754	24224013	0
23613754	24347171	0
23613754	24401905	0
23613754	24793005	0
23613754	24802396	0
23613754	24936473	0
23613754	25010986	0
23613754	25305536	0
23613754	25377420	0
23613754	25802931	0
23613754	25817697	0
23613754	26224636	0
23613754	26917425	0
23613754	28230281	0
23613754	29734353	0
29409062	18443018	2
29409062	19772615	2
29409062	22916718	2
29409062	23281855	2
29409062	24931993	2
29409062	26355502	2
29409062	28570104	2
29409062	18593717	1
29409062	19087303	1
29409062	19237334	1
29409062	20637083	1
29409062	21609501	1
29409062	21846404	1
29409062	22080466	1
29409062	22761950	1
29409062	22927994	1
29409062	22962469	1
29409062	23229795	1
29409062	23514199	1
29409062	23868775	1
29409062	24726865	1
29409062	26455801	1
29409062	27153661	1
29409062	27506132	1
29409062	27571416	1
29409062	28113697	1
29409062	28937982	1
29409062	18000325	0
29409062	19091022	0
29409062	19497041	0
29409062	19623770	0
29409062	20170516	0
29409062	21243732	0
29409062	23170965	0
29409062	23369161	0
29409062	23819480	0
29409062	24056214	0
29409062	24771561	0
29409062	24879305	0
29409062	25075115	0
29409062	25143286	0
29409062	25333095	0
29409062	25419659	0
29409062	25648210	0
29409062	25767331	0
29409062	26020952	0
29409062	26342231	0
29409062	26353260	0
29409062	26370412	0
29409062	26891811	0
29409062	27616876	0
29409062	28158419	0
29409062	28436848	0
29409062	28881966	0
29409062	28961716	0
29409062	29079959	0
29409062	29157448	0
29409062	29186331	0
29409062	29643542	0
29409062	29745832	0
29360039	17901128	2
29360039	18452557	2
29360039	18455718	2
29360039	18824165	2
29360039	18832393	2
29360039	18848538	2
29360039	19074029	2
29360039	19275872	2
29360039	19426560	2
29360039	19481073	2
29360039	19652666	2
29360039	19861495	2
29360039	20215346	2
29360039	20237281	2
29360039	20308281	2
29360039	20542628	2
29360039	21223962	2
29360039	21536023	2
29360039	22659080	2
29360039	22718906	2
29360039	23097490	2
29360039	23136387	2
29360039	23161803	2
29360039	23385791	2
29360039	23493057	2
29360039	24166500	2
29360039	24284065	2
29360039	25159185	2
29360039	25446028	2
29360039	25557916	2
29360039	25947138	2
29360039	26341559	2
29360039	26375880	2
29360039	26657765	2
29360039	26719333	2
29360039	27015931	2
29360039	27633990	2
29360039	27807028	2
29360039	28483978	2
29360039	28552735	2
29360039	28969468	2
29360039	29253534	2
29360039	29355736	2
29360039	29501879	2
29360039	18599349	1
29360039	19737974	1
29360039	21319228	1
29360039	21879738	1
29360039	22235335	1
29360039	22569336	1
29360039	23226572	1
29360039	24165979	1
29360039	25506591	1
29360039	25621495	1
29360039	28526413	1
29360039	28558797	1
29360039	29155277	1
29360039	29581031	1
29360039	29618525	1
29360039	24521094	0
27461729	19136617	2
27461729	20069537	2
27461729	20233698	2
27461729	20668688	2
27461729	20691053	2
27461729	20811620	2
27461729	22278832	2
27461729	22564980	2
27461729	22675074	2
27461729	22782115	2
27461729	23975789	2
27461729	24782518	2
27461729	24999558	2
27461729	25228660	2
27461729	25486472	2
27461729	25916712	2
27461729	26001583	2
27461729	26193323	2
27461729	26404150	2
27461729	26748519	2
27461729	26869583	2
27461729	26960733	2
27461729	27004515	2
27461729	27008015	2
27461729	27832531	2
27461729	28064247	2
27461729	28180283	2
27461729	28588240	2
27461729	29080874	2
27461729	29229825	2
27461729	29302027	2
27461729	18441229	1
27461729	18675948	1
27461729	20601698	1
27461729	21948239	1
27461729	22026390	1
27461729	22955983	1
27461729	23333867	1
27461729	23478442	1
27461729	23668488	1
27461729	23958183	1
27461729	24035354	1
27461729	25299688	1
27461729	25340767	1
27461729	25799187	1
27461729	26260845	1
27461729	26328275	1
27461729	26527277	1
27461729	26863263	1
27461729	27214023	1
27461729	27621770	1
27461729	27634932	1
27461729	27793359	1
27461729	28475897	1
27461729	28575439	1
27461729	28848233	1
27461729	29660180	1
27461729	20693478	0
27461729	21257959	0
27461729	21889355	0
29165708	18208397	2
29165708	19345191	2
29165708	19907496	2
29165708	29549581	2
29165708	18232736	1
29165708	18653894	1
29165708	19299562	1
29165708	19342897	1
29165708	19686094	1
29165708	20124417	1
29165708	20177396	1
29165708	20832720	1
29165708	21876002	1
29165708	22324461	1
29165708	22417748	1
29165708	22645306	1
29165708	22885006	1
29165708	22896698	1
29165708	22912589	1
29165708	23446515	1
29165708	25220052	1
29165708	25957489	1
29165708	26051894	1
29165708	26889705	1
29165708	26895425	1
29165708	27898391	1
29165708	28615292	1
29165708	29058668	1
29165708	29100057	1
29165708	29129641	1
29165708	29433064	1
29165708	18239448	0
29165708	18256525	0
29165708	18653893	0
29165708	19183276	0
29165708	19571679	0
29165708	19745840	0
29165708	19948489	0
29165708	20967229	0
29165708	21209385	0
29165708	21327097	0
29165708	21658943	0
29165708	21979917	0
29165708	22157819	0
29165708	22814604	0
29165708	23219725	0
29165708	23334284	0
29165708	23493417	0
29165708	23555314	0
29165708	24506176	0
29165708	25414306	0
29165708	25659430	0
29165708	26299517	0
29165708	26420833	0
29165708	26675236	0
29165708	26903600	0
29165708	27027290	0
29165708	27120695	0
29165708	27397686	0
29165708	28177203	0
29353941	19417075	2
29353941	20560937	2
29353941	20698981	2
29353941	22563066	2
29353941	23530607	2
29353941	23981227	2
29353941	24413218	2
29353941	25252852	2
29353941	25491122	2
29353941	26315907	2
29353941	27570441	2
29353941	28595376	2
29353941	28968634	2
29353941	29091583	2
29353941	18366617	1
29353941	18558655	1
29353941	19436774	1
29353941	19696187	1
29353941	19933163	1
29353941	19963938	1
29353941	20049751	1
29353941	20141472	1
29353941	20194424	1
29353941	20196753	1
29353941	20600158	1
29353941	20851787	1
29353941	21906114	1
29353941	21927625	1
29353941	22554888	1
29353941	22712439	1
29353941	23009363	1
29353941	23461570	1
29353941	23837882	1
29353941	25089832	1
29353941	25259608	1
29353941	25367074	1
29353941	25870462	1
29353941	25910040	1
29353941	26191087	1
29353941	26231183	1
29353941	26388142	1
29353941	26543580	1
29353941	26818838	1
29353941	27343475	1
29353941	27587701	1
29353941	27639353	1
29353941	27769238	1
29353941	28166715	1
29353941	28331463	1
29353941	28649173	1
29353941	28900804	1
29353941	29049343	1
29353941	29425273	1
29353941	18364997	0
29353941	20663171	0
29353941	21177328	0
29353941	21230032	0
29353941	23834140	0
29353941	28675924	0
29353941	28749364	0
29255034	22946923	2
29255034	24882660	2
29255034	25301962	2
29255034	26749247	2
29255034	28068053	2
29255034	28984436	2
29255034	29149729	2
29255034	29345568	2
29255034	18157524	1
29255034	18555555	1
29255034	20714111	1
29255034	21035459	1
29255034	21705074	1
29255034	22011953	1
29255034	22873669	1
29255034	22906603	1
29255034	24095174	1
29255034	24274699	1
29255034	25071985	1
29255034	26357993	1
29255034	27316744	1
29255034	27689968	1
29255034	28778924	1
29255034	28892365	1
29255034	29083159	1
29255034	18191144	0
29255034	19194863	0
29255034	20540100	0
29255034	20557062	0
29255034	21392506	0
29255034	21655607	0
29255034	21752633	0
29255034	21881666	0
29255034	21961996	0
29255034	22430764	0
29255034	22739570	0
29255034	22909252	0
29255034	23304695	0
29255034	23787874	0
29255034	23912807	0
29255034	24039035	0
29255034	24134196	0
29255034	24792385	0
29255034	24801432	0
29255034	25517312	0
29255034	25865036	0
29255034	25974839	0
29255034	26362156	0
29255034	26502609	0
29255034	26741147	0
29255034	26773462	0
29255034	26864481	0
29255034	26994353	0
29255034	27367748	0
29255034	27714073	0
29255034	28043051	0
29255034	28387331	0
29255034	28451297	0
29255034	28869274	0
29255034	29091083	0
29362237	20833374	2
29362237	21706283	2
29362237	21930756	2
29362237	22087232	2
29362237	24610660	2
29362237	25483774	2
29362237	27027296	2
29362237	29101209	2
29362237	29101210	2
29362237	29109176	2
29362237	29156234	2
29362237	29501618	2
29362237	19245940	1
29362237	19352427	1
29362237	19454352	1
29362237	19649176	1
29362237	19666778	1
29362237	19745113	1
29362237	19919567	1
29362237	20402792	1
29362237	20485517	1
29362237	20656914	1
29362237	21085601	1
29362237	21124988	1
29362237	21289475	1
29362237	21436220	1
29362237	21586647	1
29362237	22110651	1
29362237	22276126	1
29362237	22428031	1
29362237	22472853	1
29362237	22546903	1
29362237	22726313	1
29362237	22863995	1
29362237	23139737	1
29362237	23302789	1
29362237	23381995	1
29362237	23484392	1
29362237	24040201	1
29362237	24225657	1
29362237	24252340	1
29362237	24259441	1
29362237	24260489	1
29362237	24478069	1
29362237	25326520	1
29362237	25389175	1
29362237	25667269	1
29362237	26037125	1
29362237	26472755	1
29362237	26851404	1
29362237	28119468	1
29362237	28261668	1
29362237	28776040	1
29362237	29371575	1
29362237	29453849	1
29362237	29555898	1
29362237	19523197	0
29362237	20865172	0
29362237	21245270	0
29362237	27624133	0
29372014	22729974	2
29372014	23062450	2
29372014	23687563	2
29372014	24312721	2
29372014	24851144	2
29372014	25418442	2
29372014	25557561	2
29372014	25750837	2
29372014	25989951	2
29372014	26320578	2
29372014	26450830	2
29372014	26618238	2
29372014	26800660	2
29372014	26950013	2
29372014	27176723	2
29372014	27613369	2
29372014	27677771	2
29372014	27723542	2
29372014	27776256	2
29372014	28134442	2
29372014	28194504	2
29372014	28370300	2
29372014	28646729	2
